feature,importance
league_id,428.0
home_team_history_league_id_10,408.6
away_team_history_league_id_10,399.8
away_team_history_league_id_1,366.4
home_team_history_league_id_9,361.2
away_team_history_league_id_9,331.2
home_team_history_league_id_2,328.2
home_team_history_league_id_1,322.8
home_team_history_league_id_4,320.4
away_team_history_league_id_2,305.2
away_team_history_league_id_6,297.4
away_team_history_league_id_8,296.2
away_team_history_league_id_3,282.0
away_team_history_league_id_4,277.2
home_team_history_league_id_6,276.8
diff_goal_diff_avg_10,272.2
away_team_history_league_id_7,267.2
diff_rating_diff_avg_10,266.0
home_team_history_league_id_7,264.4
away_team_history_league_id_5,261.8
home_team_history_league_id_8,259.4
home_team_history_league_id_5,238.8
home_team_history_league_id_3,236.4
league_name,204.2
home_team_coach_id,188.0
away_team_history_coach_10,176.8
away_team_coach_id,172.8
home_team_history_coach_10,169.0
away_team_history_coach_9,130.2
home_team_history_coach_9,120.6
diff_rating_diff_avg_5,103.4
away_team_history_coach_1,99.2
diff_rating_avg_5,95.4
diff_rating_avg_10,93.0
home_team_history_coach_1,89.8
home_team_history_coach_8,89.6
home_team_history_coach_7,83.8
home_team_history_coach_2,81.8
away_team_history_coach_5,80.4
away_team_history_coach_2,76.6
away_team_history_coach_4,76.4
away_team_history_coach_8,74.8
away_team_history_coach_7,73.6
home_team_history_coach_5,69.6
home_team_history_coach_3,68.6
diff_goal_diff_avg_5,66.4
diff_rating_avg_3,63.6
away_team_history_coach_3,63.4
away_team_history_coach_6,63.2
home_team_history_coach_6,63.0
home_team_history_coach_4,62.6
diff_points_avg_10,36.2
diff_rating_diff_avg_3,34.2
diff_avg_rest_days_10,31.6
diff_avg_rest_days_5,24.4
diff_goal_diff_avg_3,24.0
diff_goals_avg_10,19.2
away_same_league_rate_10,18.4
away_goal_diff_sum_10,14.2
home_goal_diff_sum_10,13.4
diff_opp_goals_avg_10,13.0
home_same_league_rate_10,12.2
home_rating_avg_10,10.6
home_days_since_last_match_7,10.0
diff_avg_rest_days_3,9.6
diff_points_avg_5,9.2
home_days_since_last_match_4,9.2
away_same_league_rate_5,9.2
home_days_since_last_match_6,9.0
home_days_since_last_match_2,8.8
home_points_sum_10,8.8
home_goal_diff_avg_10,8.4
away_rating_diff_avg_10,8.2
away_team_history_rating_6,8.0
home_team_history_rating_6,7.8
home_days_since_last_match_5,7.6
away_rating_diff_avg_3,7.4
home_avg_rest_days_3,7.4
home_days_since_last_match_9,7.2
home_team_history_rating_10,6.8
home_team_history_rating_5,6.6
home_days_since_last_match_3,6.4
home_avg_rest_days_5,6.2
home_opp_rating_avg_5,6.0
diff_opp_goals_avg_3,6.0
diff_same_league_rate_10,6.0
home_rating_avg_3,5.8
away_goal_diff_avg_10,5.8
home_rating_diff_max_10,5.4
diff_opp_goals_avg_5,5.4
away_opp_rating_avg_10,5.2
home_days_since_last_match_10,5.2
away_rating_avg_10,5.0
home_team_history_rating_2,5.0
